day,temperature
1,10.946538405643128
2,10.982735213038358
3,12.145751863787252
4,13.365515596669672
5,12.459804993242347
6,12.935902801415834
7,14.834458688594369
8,14.600728237819942
9,13.991055039389455
10,15.141402958908253
11,14.635302646057209
12,14.887611626979925
13,15.661360744338793
14,14.09662445421606
15,14.357540667009847
16,15.34803799181475
17,14.998059155994804
18,16.020636020467194
19,14.955081178020102
20,14.416644173060176
21,16.538565848381612
22,14.961860978708721
23,14.93254862463394
24,13.437517353784989
25,13.806854540899636
26,13.966244930875213
27,12.566104539231306
28,13.375499165456063
29,12.165735694134868
30,11.972245040464715
31,11.276538022382935
32,12.78995183046925
33,10.85047374949341
34,9.576125746701123
35,10.654119791234452
36,8.61072286354892
37,9.367910171461338
38,7.272974446182586
39,7.4486203649613865
40,8.373476512155658
41,8.549387708674278
42,7.879215762884036
43,7.476651690342132
44,7.2011066740809895
45,6.179531819380573
46,6.75566961511691
47,6.981872695411667
48,8.26487473679593
49,7.812631568533107
50,6.2949465023941205
51,8.180193763877174
52,7.874660897066181
53,7.947125188635726
54,9.32551859329276
55,10.0470979901448
56,10.38869090593135
57,9.4251982684337
58,10.32961920225024
59,11.34562742097167
60,12.383358610703258
61,11.755848088363289
62,12.536025804581465
63,12.349001523216925
64,12.825780724987931
65,14.975620598354437
66,15.942698840423548
67,15.316641505818724
68,16.67339307400666
69,16.63150764197911
70,16.268837189909846
71,17.48396168503611
72,18.798768572418542
73,17.87352227185486
74,19.44525540370934
75,16.3442038006019
76,19.297120363657612
77,18.86047882397554
78,18.65351084650033
79,19.018115330427264
80,17.356736101436194
81,18.72371154395542
82,19.089342840608264
83,19.843174404574675
84,18.058378365822485
85,17.5956406808029
86,17.570579854502938
87,18.397167844572575
88,17.587586852186558
89,16.53129611927579
90,16.97120637269947
91,16.223153851225195
92,16.48936556292755
93,14.710629642433426
94,14.561747409988575
95,14.060557875185227
96,12.757554135379408
97,13.728093089596948
98,13.27644857148427
99,12.666411296437362
100,12.092224738853034
101,10.792350161895259
102,11.26411030382
103,11.037399337960672
104,10.419045839194437
105,10.722492630808844
106,11.009363577387596
107,12.075773639617486
108,10.634981099933015
109,10.678859046046325
110,10.440492234633547
111,9.04222008674082
112,10.68290025388404
113,10.928087918442376
114,13.073951061664852
115,11.21885035473296
116,11.927094899023345
117,12.012312664640639
118,11.497432146018761
119,13.773572690426851
120,13.918681836147243
